Habitats_P3,Natura_2000,Types_markblokkort,Area_Sq_Mt,Proportion
Eng,Yes,OMD,23754100,0.05505663300696291
Eng,Yes,PGR,152131800,0.3526071154574865
Eng,Yes,NA,76032600,0.1762263758578607
Eng,NA,OMD,83230700,0.1929099441701697
Eng,NA,PGR,483101400,1.1197198161559476
Eng,NA,NA,248066100,0.5749611321484949
Hede,Yes,OMD,8642200,0.020030665601844518
Hede,Yes,PGR,96494500,0.22365243363
Hede,Yes,NA,344579700,0.7986578352599921
Hede,NA,OMD,7198000,0.016683336534918988
Hede,NA,PGR,46674900,0.10818186502274106
Hede,NA,NA,348674600,0.808148887604649
Mose,Yes,OMD,9233000,0.02140000642218769
Mose,Yes,PGR,57967200,0.13435486323797663
Mose,Yes,NA,287532400,0.6664350922329729
Mose,NA,OMD,20602200,0.04775124145036231
Mose,NA,PGR,100201900,0.23224534858826046
Mose,NA,NA,579909600,1.344099335458496
Overdrev,Yes,OMD,7072400,0.01639222413303154
Overdrev,Yes,PGR,49668400,0.11512012119352182
Overdrev,Yes,NA,51845700,0.12016661030681429
Overdrev,NA,OMD,16695700,0.03869685770853666
Overdrev,NA,PGR,122450800,0.2838132683203748
Overdrev,NA,NA,131792400,0.30546498498814345
Strandeng,Yes,OMD,31536900,0.0730954037188228
Strandeng,Yes,PGR,165264100,0.38304481764941717
Strandeng,Yes,NA,145209400,0.3365625574095117
Strandeng,NA,OMD,5135600,0.01190315964277993
Strandeng,NA,PGR,32834600,0.076103178909343
Strandeng,NA,NA,51522100,0.11941657867265204
Sø,Yes,OMD,724400,0.001678995413433636
Sø,Yes,PGR,4128700,0.009569393102489582
Sø,Yes,NA,341029300,0.790428810804091
Sø,NA,OMD,10902400,0.025269298171478292
Sø,NA,PGR,13519400,0.031334912468766844
Sø,NA,NA,329881600,0.76459096269485
Ukendt,NA,NA,400,9.271095601510966e-7
NA,Yes,OMD,454745700,1.0539977147690065
NA,Yes,PGR,132373400,0.30681161162426296
NA,Yes,NA,1151784200,2.669575357627457
NA,NA,OMD,22387450100,51.88904753778907
NA,NA,PGR,1399504200,3.2437343082290315
